DATE,RAILFRTINTERMODAL
2000-01-01,723747
2000-02-01,710611
2000-03-01,771025
2000-04-01,747905
2000-05-01,772852
2000-06-01,763056
2000-07-01,760109
2000-08-01,814860
2000-09-01,789037
2000-10-01,859903
2000-11-01,755194
2000-12-01,710715
2001-01-01,718208
2001-02-01,666813
2001-03-01,761942
2001-04-01,717396
2001-05-01,734970
2001-06-01,743527
2001-07-01,733967
2001-08-01,802542
2001-09-01,775082
2001-10-01,827614
2001-11-01,743670
2001-12-01,688215
2002-01-01,701350
2002-02-01,688595
2002-03-01,758158
2002-04-01,774537
2002-05-01,800215
2002-06-01,805089
2002-07-01,800913
2002-08-01,867104
2002-09-01,810856
2002-10-01,791259
2002-11-01,791000
2002-12-01,744615
2003-01-01,787446
2003-02-01,730315
2003-03-01,826783
2003-04-01,810805
2003-05-01,836029
2003-06-01,829971
2003-07-01,839459
2003-08-01,871757
2003-09-01,857231
2003-10-01,928584
2003-11-01,852170
2003-12-01,797451
2004-01-01,841769
2004-02-01,806222
2004-03-01,906899
2004-04-01,892142
2004-05-01,938204
2004-06-01,916328
2004-07-01,930866
2004-08-01,970145
2004-09-01,937213
2004-10-01,1027749
2004-11-01,956383
2004-12-01,906275
2005-01-01,925534
2005-02-01,883984
2005-03-01,935163
2005-04-01,945359
2005-05-01,976854
2005-06-01,956014
2005-07-01,979130
2005-08-01,1040831
2005-09-01,1002951
2005-10-01,1093139
2005-11-01,1000302
2005-12-01,977753
2006-01-01,991980
2006-02-01,896379
2006-03-01,1012540
2006-04-01,1015609
2006-05-01,1045039
2006-06-01,1033661
2006-07-01,1041756
2006-08-01,1106273
2006-09-01,1060237
2006-10-01,1113993
2006-11-01,1006847
2006-12-01,984846
2007-01-01,981972
2007-02-01,920164
2007-03-01,1009963
2007-04-01,974909
2007-05-01,1018160
2007-06-01,1020267
2007-07-01,1015526
2007-08-01,1058591
2007-09-01,1032837
2007-10-01,1071991
2007-11-01,993055
2007-12-01,949057
2008-01-01,957435
2008-02-01,926466
2008-03-01,950282
2008-04-01,959169
2008-05-01,997834
2008-06-01,978498
2008-07-01,1004378
2008-08-01,1036147
2008-09-01,994549
2008-10-01,1037799
2008-11-01,915200
2008-12-01,796421
2009-01-01,846511
2009-02-01,726343
2009-03-01,808252
2009-04-01,785964
2009-05-01,810365
2009-06-01,800581
2009-07-01,822512
2009-08-01,869310
2009-09-01,847217
2009-10-01,914752
2009-11-01,853396
2009-12-01,810958
2010-01-01,874628
2010-02-01,801194
2010-03-01,909992
2010-04-01,892456
2010-05-01,952718
2010-06-01,947437
2010-07-01,983066
2010-08-01,1040147
2010-09-01,995071
2010-10-01,1043430
2010-11-01,951816
2010-12-01,909186
2011-01-01,943869
2011-02-01,886140
2011-03-01,983115
2011-04-01,981463
2011-05-01,1021055
2011-06-01,996622
2011-07-01,997012
2011-08-01,1045925
2011-09-01,1014029
2011-10-01,1079741
2011-11-01,989342
2011-12-01,977960
2012-01-01,977417
2012-02-01,925371
2012-03-01,1025735
2012-04-01,1015261
2012-05-01,1048915
2012-06-01,1057111
2012-07-01,1050304
2012-08-01,1091182
2012-09-01,1055933
2012-10-01,1101408
2012-11-01,996259
2012-12-01,973474
2013-01-01,1046442
2013-02-01,983077
2013-03-01,1037566
2013-04-01,1034194
2013-05-01,1077102
2013-06-01,1070484
2013-07-01,1079970
2013-08-01,1140462
2013-09-01,1103442
2013-10-01,1165982
2013-11-01,1083084
2013-12-01,1038694
2014-01-01,1067964
2014-02-01,992254
2014-03-01,1137395
2014-04-01,1126987
2014-05-01,1160489
2014-06-01,1142230
2014-07-01,1144252
2014-08-01,1187136
2014-09-01,1157442
2014-10-01,1223207
2014-11-01,1113273
2014-12-01,1070542
2015-01-01,1084673
2015-02-01,929348
2015-03-01,1200332
2015-04-01,1186358
2015-05-01,1206950
2015-06-01,1186247
2015-07-01,1184112
2015-08-01,1232802
2015-09-01,1165129
2015-10-01,1209771
2015-11-01,1101811
2015-12-01,1049014
2016-01-01,1130858
2016-02-01,1087281
2016-03-01,1102697
2016-04-01,1101110
2016-05-01,1148705
2016-06-01,1120398
2016-07-01,1115819
2016-08-01,1175723
2016-09-01,1116007
2016-10-01,1192422
2016-11-01,1121925
2016-12-01,1131383
2017-01-01,1113971
2017-02-01,1040348
2017-03-01,1123340
2017-04-01,1103713
2017-05-01,1171410
2017-06-01,1156506
2017-07-01,1153881
2017-08-01,1216328
2017-09-01,1139093
2017-10-01,1233353
2017-11-01,1143806
2017-12-01,1155490
2018-01-01,1159338
2018-02-01,1105421
2018-03-01,1201985
2018-04-01,1179073
2018-05-01,1244509
2018-06-01,1233577
2018-07-01,1232880
2018-08-01,1276948
2018-09-01,1209202
2018-10-01,1279057
2018-11-01,1183104
2018-12-01,1199347
