DATE,XTEXVA01ITM664N
1990-01-01,7714833158.59875
1990-02-01,8058793453.392351
1990-03-01,8553559162.720081
1990-04-01,8616050447.509901
1990-05-01,8940901837.03719
1990-06-01,9981046031.80342
1990-07-01,10165937601.6775
1990-08-01,5939254339.5291
1990-09-01,8534450257.453759
1990-10-01,9899962298.64637
1990-11-01,8719341827.327799
1990-12-01,9982595402.500679
1991-01-01,7940008366.60176
1991-02-01,8998745009.73521
1991-03-01,8811787612.26482
1991-04-01,9020436199.49697
1991-05-01,8883575121.23826
1991-06-01,10022362583.730598
1991-07-01,10459801577.2594
1991-08-01,5946484736.11635
1991-09-01,8708496232.44692
1991-10-01,10301249309.2389
1991-11-01,8829347146.833858
1991-12-01,10399892576.965
1992-01-01,8493650162.4257
1992-02-01,9062785665.222311
1992-03-01,9616427461.04624
1992-04-01,9290026700.82168
1992-05-01,9167626415.73748
1992-06-01,10156124920.5948
1992-07-01,11076967571.6713
1992-08-01,6135507961.1831
1992-09-01,9371110433.97874
1992-10-01,11069220718.185001
1992-11-01,9392801623.74049
1992-12-01,10497502930.8929
1993-01-01,9112881984.43399
1993-02-01,10452054723.772999
1993-03-01,11903815067.1136
1993-04-01,11693617109.184198
1993-05-01,11202466598.150099
1993-06-01,11753526109.4785
1993-07-01,13373651401.9223
1993-08-01,6922588275.39548
1993-09-01,12178053680.5301
1993-10-01,12498773414.8647
1993-11-01,12347451543.4314
1993-12-01,14048660569.032202
1994-01-01,10583234776.1418
1994-02-01,12446611268.0566
1994-03-01,14555821243.938099
1994-04-01,12353132569.3214
1994-05-01,13262613168.618
1994-06-01,14025420008.5732
1994-07-01,14399851260.413101
1994-08-01,9300355838.80347
1994-09-01,14144205095.3638
1994-10-01,14088944207.1612
1994-11-01,14276418061.5307
1994-12-01,15635216163.035099
1995-01-01,13489600000.0
1995-02-01,13904900000.0
1995-03-01,15601500000.0
1995-04-01,13105700000.0
1995-05-01,15883000000.0
1995-06-01,15967200000.0
1995-07-01,16371400000.000002
1995-08-01,10602700000.0
1995-09-01,15504500000.0
1995-10-01,16051100000.000002
1995-11-01,16185600000.0
1995-12-01,16051400000.000002
1996-01-01,14196700000.0
1996-02-01,16332799999.999998
1996-03-01,17585700000.0
1996-04-01,15921600000.0
1996-05-01,17790100000.0
1996-06-01,17147200000.000002
1996-07-01,19754600000.0
1996-08-01,11351800000.0
1996-09-01,15821600000.0
1996-10-01,19267900000.0
1996-11-01,16809600000.0
1996-12-01,16715399999.999998
1997-01-01,15071100000.0
1997-02-01,16406400000.000002
1997-03-01,17317500000.0
1997-04-01,17927400000.0
1997-05-01,17917300000.0
1997-06-01,18451000000.0
1997-07-01,21611300000.0
1997-08-01,11733000000.0
1997-09-01,18319800000.0
1997-10-01,20381900000.0
1997-11-01,18319500000.0
1997-12-01,18542100000.0
1998-01-01,15661400000.0
1998-02-01,17721000000.0
1998-03-01,21017700000.0
1998-04-01,18677000000.0
1998-05-01,18617300000.0
1998-06-01,20084600000.0
1998-07-01,21698700000.0
1998-08-01,12271400000.0
1998-09-01,18148000000.0
1998-10-01,19128800000.0
1998-11-01,18133700000.0
1998-12-01,18091900000.0
1999-01-01,14370200000.0
1999-02-01,16640899999.999998
1999-03-01,20220800000.0
1999-04-01,17624000000.0
1999-05-01,17680900000.0
1999-06-01,19734100000.0
1999-07-01,21125800000.0
1999-08-01,12645900000.0
1999-09-01,19225900000.0
1999-10-01,20531500000.0
1999-11-01,20050800000.0
1999-12-01,21169600000.0
2000-01-01,16926400000.000002
2000-02-01,20738500000.0
2000-03-01,24202500000.0
2000-04-01,19123000000.0
2000-05-01,22629800000.0
2000-06-01,22417700000.0
2000-07-01,23768800000.0
2000-08-01,16122100000.0
2000-09-01,23450400000.0
2000-10-01,24289600000.0
2000-11-01,23403600000.0
2000-12-01,23340900000.0
2001-01-01,21037100000.0
2001-02-01,22035400000.0
2001-03-01,25911700000.0
2001-04-01,21608000000.0
2001-05-01,24113000000.0
2001-06-01,24445300000.0
2001-07-01,25114200000.0
2001-08-01,16186399999.999998
2001-09-01,21646200000.0
2001-10-01,25171900000.0
2001-11-01,22998500000.0
2001-12-01,22721900000.0
2002-01-01,19882300000.0
2002-02-01,21591600000.0
2002-03-01,24075100000.0
2002-04-01,21285500000.0
2002-05-01,24174800000.0
2002-06-01,22545500000.0
2002-07-01,25985700000.0
2002-08-01,15699800000.0
2002-09-01,22403700000.0
2002-10-01,25816600000.0
2002-11-01,22783600000.0
2002-12-01,22819200000.0
2003-01-01,20118900000.0
2003-02-01,21595700000.0
2003-03-01,23447900000.0
2003-04-01,21392700000.0
2003-05-01,21767500000.0
2003-06-01,21385700000.0
2003-07-01,25420100000.0
2003-08-01,14747000000.0
2003-09-01,22073900000.0
2003-10-01,26296700000.0
2003-11-01,21926700000.0
2003-12-01,24443000000.0
2004-01-01,18380700000.0
2004-02-01,21738700000.0
2004-03-01,26551900000.0
2004-04-01,24046300000.0
2004-05-01,24212600000.0
2004-06-01,24943300000.0
2004-07-01,27479700000.0
2004-08-01,17635200000.0
2004-09-01,24616300000.0
2004-10-01,25560500000.0
2004-11-01,25371000000.0
2004-12-01,23877200000.0
2005-01-01,20432700000.0
2005-02-01,23116200000.0
2005-03-01,26592000000.0
2005-04-01,24782600000.0
2005-05-01,26121900000.0
2005-06-01,26497600000.0
2005-07-01,28480900000.0
2005-08-01,18853200000.0
2005-09-01,26131400000.0
2005-10-01,26676400000.0
2005-11-01,27267300000.0
2005-12-01,24971200000.0
2006-01-01,23085900000.0
2006-02-01,25736800000.0
2006-03-01,30615700000.0
2006-04-01,24535000000.0
2006-05-01,29921400000.0
2006-06-01,29413500000.0
2006-07-01,29694300000.0
2006-08-01,21277500000.0
2006-09-01,28378100000.0
2006-10-01,30790000000
2006-11-01,30635900000.0
2006-12-01,27928900000.0
2007-01-01,26612400000.0
2007-02-01,29275400000.0
2007-03-01,33585400000.0
2007-04-01,27994100000.0
2007-05-01,32311999999.999996
2007-06-01,32997100000.000004
2007-07-01,34944000000.0
2007-08-01,23322600000.0
2007-09-01,29510900000.0
2007-10-01,34605000000.0
2007-11-01,32688300000.0
2007-12-01,26896700000.0
2008-01-01,29567100000.0
2008-02-01,32508100000.0
2008-03-01,32070999999.999996
2008-04-01,33308600000.0
2008-05-01,32299000000.0
2008-06-01,31909600000.0
2008-07-01,37681300000.0
2008-08-01,21404300000.0
2008-09-01,31538700000.0
2008-10-01,33374299999.999996
2008-11-01,27522500000.0
2008-12-01,25831200000.0
2009-01-01,21067800000.0
2009-02-01,23917500000.0
2009-03-01,26026600000.0
2009-04-01,23854300000.0
2009-05-01,24194000000.0
2009-06-01,24893400000.0
2009-07-01,29408400000.0
2009-08-01,16267700000.000002
2009-09-01,25762000000.0
2009-10-01,26287400000.0
2009-11-01,25332000000.0
2009-12-01,24722000000.0
2010-01-01,20978900000.0
2010-02-01,25152800000.0
2010-03-01,30178600000.0
2010-04-01,27606800000.0
2010-05-01,27966000000.0
2010-06-01,30210000000
2010-07-01,33339799999.999996
2010-08-01,21043300000.0
2010-09-01,30012900000.0
2010-10-01,30754100000.0
2010-11-01,30450100000.0
2010-12-01,29714100000.0
2011-01-01,26162600000.0
2011-02-01,29624900000.0
2011-03-01,34340300000.0
2011-04-01,31079400000.0
2011-05-01,33545000000.0
2011-06-01,32649400000.0
2011-07-01,35326700000.0
2011-08-01,24244800000.0
2011-09-01,32995600000.000004
2011-10-01,32131300000.000004
2011-11-01,32439900000.0
2011-12-01,31363900000.0
2012-01-01,27475500000.0
2012-02-01,31816900000.0
2012-03-01,36105300000.0
2012-04-01,30548000000.0
2012-05-01,35232100000.0
2012-06-01,34392200000.0
2012-07-01,37190000000
2012-08-01,26165800000.0
2012-09-01,31582600000.0
2012-10-01,36037300000.0
2012-11-01,33688100000.0
2012-12-01,29948200000.0
2013-01-01,29957200000.0
2013-02-01,30921100000.0
2013-03-01,33959100000.0
2013-04-01,31959000000.0
2013-05-01,34688500000.0
2013-06-01,33323800000.0
2013-07-01,38414600000.0
2013-08-01,24588800000.0
2013-09-01,32193600000.000004
2013-10-01,36291000000.0
2013-11-01,32571900000.0
2013-12-01,31364200000.0
2014-01-01,30167000000.0
2014-02-01,31891900000.0
2014-03-01,34354500000.0
2014-04-01,32585500000.000004
2014-05-01,34769400000.0
2014-06-01,33825300000.0
2014-07-01,38926600000.0
2014-08-01,23880200000.0
2014-09-01,34567900000.0
2014-10-01,37396300000.0
2014-11-01,33125999999.999996
2014-12-01,33379800000.000004
2015-01-01,28883100000.0
2015-02-01,32958799999.999996
2015-03-01,37360500000.0
2015-04-01,35233200000.0
2015-05-01,35223100000.0
2015-06-01,36576200000.0
2015-07-01,41260200000.0
2015-08-01,23910300000.0
2015-09-01,34794500000.0
2015-10-01,36697900000.0
2015-11-01,35136500000.0
2015-12-01,34256999999.999996
2016-01-01,28089100000.0
2016-02-01,34085900000.000004
2016-03-01,37164800000.0
2016-04-01,35015400000.0
2016-05-01,36174300000.0
2016-06-01,36559100000.0
2016-07-01,38335700000.0
2016-08-01,26907500000.0
2016-09-01,35996500000.0
2016-10-01,35769900000.0
2016-11-01,37070700000.0
2016-12-01,36099900000.0
2017-01-01,31989400000.0
2017-02-01,34933100000.0
2017-03-01,42401000000.0
2017-04-01,34060600000.0
2017-05-01,41168800000.0
2017-06-01,39671700000.0
2017-07-01,40262900000.0
2017-08-01,29352900000.0
2017-09-01,37987900000.0
2017-10-01,39877600000.0
2017-11-01,40741700000.0
2017-12-01,36681400000.0
2018-01-01,35026900000.0
2018-02-01,36400900000.0
2018-03-01,41839800000.0
2018-04-01,36513900000.0
2018-05-01,40782000000.0
2018-06-01,42366100000.0
2018-07-01,43229800000.0
2018-08-01,30709600000.0
2018-09-01,37078200000.0
2018-10-01,44000800000.0
2018-11-01,41486600000.0
2018-12-01,35890900000.0
